concept,description
Mean,"The mean is the average of all values in a dataset. It is calculated using the formula \( \bar{x} = \frac{\sum x_i}{n} \), where \( x_i \) represents each value and \( n \) is the number of observations. For example, for values [2, 4, 6], the mean is \( \frac{2+4+6}{3} = 4 \)."
Median,"The median is the middle value in a sorted dataset. If the dataset has an odd number of values, it is the middle one. If even, it is the average of the two middle values. For example, in [3, 5, 7], the median is 5. In [3, 5, 7, 9], it is \( \frac{5+7}{2} = 6 \)."
Mode,"The mode is the value that appears most frequently in a dataset. A dataset may have one mode, more than one, or none at all. For example, in [1, 2, 2, 3], the mode is 2."
Variance,Variance measures how far each number in the set is from the mean. The formula is \( \sigma^2 = \frac{\sum (x_i - \bar{x})^2}{n} \). It gives a sense of the data's spread.
Standard Deviation,Standard deviation is the square root of variance. It indicates how much the values in a dataset deviate from the mean. Formula: \( \sigma = \sqrt{\frac{\sum (x_i - \bar{x})^2}{n}} \).
Range,The range is the difference between the highest and lowest values. Formula: \( \text{Range} = \text{Max} - \text{Min} \).
Z-Score,Z-score indicates how many standard deviations an element is from the mean. Formula: \( z = \frac{x - \bar{x}}{\sigma} \). Used in standardization and outlier detection.
Probability,Probability measures the likelihood of an event occurring. Formula: \( P(E) = \frac{\text{Number of favorable outcomes}}{\text{Total outcomes}} \).
Combination,Combinations refer to the selection of items without considering the order. Formula: \( ^nC_r = \frac{n!}{r!(n-r)!} \).
Permutation,Permutations refer to arrangements of items where the order matters. Formula: \( ^nP_r = \frac{n!}{(n - r)!} \).
Mean (11),"The mean is the average of all values in a dataset. It is calculated using the formula \( \bar{x} = \frac{\sum x_i}{n} \), where \( x_i \) represents each value and \( n \) is the number of observations. For example, for values [2, 4, 6], the mean is \( \frac{2+4+6}{3} = 4 \). [Variant 11]"
Median (12),"The median is the middle value in a sorted dataset. If the dataset has an odd number of values, it is the middle one. If even, it is the average of the two middle values. For example, in [3, 5, 7], the median is 5. In [3, 5, 7, 9], it is \( \frac{5+7}{2} = 6 \). [Variant 12]"
Mode (13),"The mode is the value that appears most frequently in a dataset. A dataset may have one mode, more than one, or none at all. For example, in [1, 2, 2, 3], the mode is 2. [Variant 13]"
Variance (14),Variance measures how far each number in the set is from the mean. The formula is \( \sigma^2 = \frac{\sum (x_i - \bar{x})^2}{n} \). It gives a sense of the data's spread. [Variant 14]
Standard Deviation (15),Standard deviation is the square root of variance. It indicates how much the values in a dataset deviate from the mean. Formula: \( \sigma = \sqrt{\frac{\sum (x_i - \bar{x})^2}{n}} \). [Variant 15]
Range (16),The range is the difference between the highest and lowest values. Formula: \( \text{Range} = \text{Max} - \text{Min} \). [Variant 16]
Z-Score (17),Z-score indicates how many standard deviations an element is from the mean. Formula: \( z = \frac{x - \bar{x}}{\sigma} \). Used in standardization and outlier detection. [Variant 17]
Probability (18),Probability measures the likelihood of an event occurring. Formula: \( P(E) = \frac{\text{Number of favorable outcomes}}{\text{Total outcomes}} \). [Variant 18]
Combination (19),Combinations refer to the selection of items without considering the order. Formula: \( ^nC_r = \frac{n!}{r!(n-r)!} \). [Variant 19]
Permutation (20),Permutations refer to arrangements of items where the order matters. Formula: \( ^nP_r = \frac{n!}{(n - r)!} \). [Variant 20]
Mean (21),"The mean is the average of all values in a dataset. It is calculated using the formula \( \bar{x} = \frac{\sum x_i}{n} \), where \( x_i \) represents each value and \( n \) is the number of observations. For example, for values [2, 4, 6], the mean is \( \frac{2+4+6}{3} = 4 \). [Variant 21]"
Median (22),"The median is the middle value in a sorted dataset. If the dataset has an odd number of values, it is the middle one. If even, it is the average of the two middle values. For example, in [3, 5, 7], the median is 5. In [3, 5, 7, 9], it is \( \frac{5+7}{2} = 6 \). [Variant 22]"
Mode (23),"The mode is the value that appears most frequently in a dataset. A dataset may have one mode, more than one, or none at all. For example, in [1, 2, 2, 3], the mode is 2. [Variant 23]"
Variance (24),Variance measures how far each number in the set is from the mean. The formula is \( \sigma^2 = \frac{\sum (x_i - \bar{x})^2}{n} \). It gives a sense of the data's spread. [Variant 24]
Standard Deviation (25),Standard deviation is the square root of variance. It indicates how much the values in a dataset deviate from the mean. Formula: \( \sigma = \sqrt{\frac{\sum (x_i - \bar{x})^2}{n}} \). [Variant 25]
Range (26),The range is the difference between the highest and lowest values. Formula: \( \text{Range} = \text{Max} - \text{Min} \). [Variant 26]
Z-Score (27),Z-score indicates how many standard deviations an element is from the mean. Formula: \( z = \frac{x - \bar{x}}{\sigma} \). Used in standardization and outlier detection. [Variant 27]
